"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"01003099999","2022-01-02T07:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","9","16","","||DRSN","+0.04","6","73","FEW:01 20","29.93","29.88","9.32","14","061","42","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN004BUFR","","","","","","","","","",""
"01003099999","2022-01-03T11:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","-1","9","","","-0.06","1","64","","30.02","29.98","","7","059","59","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN004BUFR","","","","","","","","","",""
"01003099999","2022-01-06T19:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","15","23","","","+0.01","8","72","BKN:07 20","29.67","29.62","18.64","21","186","13","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN004BUFR","","","","","","","","","",""
"01003099999","2022-01-10T07:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","17","20","","","-0.06","2","91","FEW:01 10","29.80","29.76","9.32","19","057","11","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN004BUFR","","","","","","","","","",""
"01003099999","2022-01-15T00:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","-2","6","","","-0.00","0","68","","29.56","29.52","","5","063","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN004BUFR","","","","","","","","","",""
"01003099999","2022-01-15T01:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","-3","6","","","+0.01","8","67","FEW:01 20","29.55","29.51","21.75","4","291","13","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN004BUFR","","","","","","","","","",""
"01003099999","2022-01-18T10:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","10","17","","","+0.14","8","76","OVC:08 20","29.02","28.98","3.73","15","063","50","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN004BUFR","","","","","","","","","",""
"01003099999","2022-01-19T01:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","14","20","","||BLSN","-0.09","3","78","VV:09","28.72","28.68","0.37","18","037","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN004BUFR","","","","","","","","","",""
"01003099999","2022-01-19T13:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","2","15","","||DRSN","-0.11","0","57","SCT:04 20","28.93","28.89","11.18","12","039","46","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN004BUFR","","","","","","","","","",""
"01003099999","2022-01-19T19:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","9","20","","||DRSN","-0.07","1","60","FEW:02 33","29.06","29.02","9.32","17","023","52","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN004BUFR","","","","","","","","","",""
"01003099999","2022-01-20T02:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","13","24","","","-0.11","1","64","","29.28","29.23","","21","033","31","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN004BUFR","","","","","","","","","",""
"01003099999","2022-01-20T13:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","9","17","","","-0.06","2","71","FEW:02 33","29.55","29.51","21.75","15","057","16","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN004BUFR","","","","","","","","","",""
"01003099999","2022-01-22T19:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","31","34","","||RA","+0.22","6","90","OVC:08 10","28.67","28.64","6.21","33","158","50","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN004BUFR","","","","","","","","","",""
"01003099999","2022-01-25T16:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","15","20","","","-0.10","3","79","BKN:06 10","29.07","29.03","2.49","19","335","35","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN004BUFR","","","","","","","","","",""
"01003099999","2022-01-28T07:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","10","15","","","-0.03","2","80","SCT:04 33","29.57","29.53","7.46","14","093","13","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN004BUFR","","","","","","","","","",""
"01003099999","2022-01-31T04:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","-1","9","","","-0.02","3","65","FEW:01 20","29.83","29.78","9.32","7","056","28","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN004BUFR","","","","","","","","","",""
"01003099999","2022-02-01T07:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","8","15","","||DRSN","+0.02","7","74","SCT:03 20","29.72","29.68","4.97","13","067","47","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN004BUFR","","","","","","","","","",""
"01003099999","2022-02-02T01:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","18","24","","","-0.02","1","77","OVC:08 20","29.82","29.78","6.21","22","071","37","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN004BUFR","","","","","","","","","",""
"01003099999","2022-02-03T05:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","13","18","","","-0.01","0","81","","29.92","29.88","","17","083","41","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN004BUFR","","","","","","","","","",""
"01003099999","2022-02-03T10:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","14","18","","||DRSN","-0.03","3","83","SCT:04 20","29.97","29.93","3.11","17","055","40","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN004BUFR","","","","","","","","","",""
"01003099999","2022-02-03T12:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","12","18","","","-0.01","0","77","","29.96","29.92","","16","067","50","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN004BUFR","","","","","","","","","",""
"01003099999","2022-02-03T20:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","9","15","","","+0.02","8","76","","29.95","29.91","","14","079","52","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN004BUFR","","","","","","","","","",""
"01003099999","2022-02-04T10:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","12","17","","","+0.02","8","81","FEW:02 20","29.91","29.86","7.46","16","074","36","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN004BUFR","","","","","","","","","",""
"01003099999","2022-02-07T00:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","16","24","","","","","72","","29.05","29.01","","22","045","41","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN004BUFR","","","","","","","","","",""
"01003099999","2022-02-07T01:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","15","24","","||DRSN","-0.01","3","71","BKN:05 20","29.08","29.04","6.21","21","048","39","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN004BUFR","","","","","","","","","",""
"01003099999","2022-02-07T03:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","15","24","","","-0.03","0","69","","29.08","29.04","","21","051","32","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN004BUFR","","","","","","","","","",""
"01003099999","2022-02-09T07:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","4","10","","","+0.04","8","75","FEW:02 82","28.99","28.95","12.43","9","065","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN004BUFR","","","","","","","","","",""
"01003099999","2022-02-10T10:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","24","26","","","-0.01","2","93","OVC:08 20","28.81","28.77","4.35","25","094","24","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN004BUFR","","","","","","","","","",""
