"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"01006099999","2010-10-06T10:00:00","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","4","","33","35","","","+0.02","5","89","","29.50","29.46","","34","130","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN060AAXX  06091 01006 46/// /1302 10019 20003 39975 49990 55006;","","","","","","","","","",""
"01006099999","2010-10-06T11:00:00","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","4","","33","35","","","-0.02","0","93","","29.51","29.47","","34","070","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN060AAXX  06101 01006 46/// /0702 10014 20004 39978 49994 50006;","","","","","","","","","",""
"01006099999","2010-10-06T12:00:00","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","4","","32","34","","","-0.02","1","94","","29.52","29.47","","33","010","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN060AAXX  06111 01006 46/// /0101 10011 20002 39980 49995 51008;","","","","","","","","","",""
"01006099999","2010-10-06T13:00:00","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","4","","32","34","","","-0.03","2","95","","29.52","29.47","","33","350","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN070AAXX  06121 01006 46/// /3501 10009 20002 39981 49996 52011 333 91106;","","","","","","","","","",""
"01006099999","2010-10-06T14:00:00","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","4","","32","33","","","+0.02","5","95","","29.51","29.47","","33","340","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN060AAXX  06131 01006 46/// /3402 10006 21001 39979 49994 55006;","","","","","","","","","",""
"01006099999","2010-10-06T15:00:00","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","4","","31","32","","","0.00","4","96","","29.51","29.46","","32","340","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN060AAXX  06141 01006 46/// /3402 10002 21004 39977 49992 54002;","","","","","","","","","",""
"01006099999","2010-10-06T16:00:00","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","4","","31","32","","","+0.00","7","97","","29.50","29.46","","32","300","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN060AAXX  06151 01006 46/// /3002 10001 21003 39975 49990 57001;","","","","","","","","","",""
"01006099999","2010-10-06T17:00:00","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","4","","31","32","","","+0.00","7","99","","29.49","29.45","","32","330","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN060AAXX  06161 01006 46/// /3301 11001 21003 39973 49988 57001;","","","","","","","","","",""
"01006099999","2010-10-06T18:00:00","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","4","","31","31","","","+0.01","7","99","","29.49","29.45","","31","220","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN060AAXX  06171 01006 46/// /2201 11003 21005 39972 49988 57000;","","","","","","","","","",""
"01006099999","2010-10-06T19:00:00","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","4","","32","32","","","+0.02","6","99","","29.47","29.42","","32","110","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN076AAXX  06181 01006 46/// /1102 10001 21000 39963 49978 56007 333 10026 91104;","","","","","","","","","",""
