"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"01003099999","2013-01-09T01:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","11","19","","","-0.06","2","71","","29.88","","24.85","","070","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN066AAXX  09001 01003 31582 10702 11072 21116 40120 52021 70200 81500;","","","","","","","","","",""
"01003099999","2013-01-09T04:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","10","18","","","-0.06","1","71","","29.94","","24.85","","300","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN066AAXX  09031 01003 41582 13002 11080 21124 40140 51020 70200 81500;","","","","","","","","","",""
"01003099999","2013-01-09T07:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","11","17","","","-0.04","3","78","","29.99","","9.32","","060","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN082AAXX  09061 01003 31465 80604 11085 21117 40155 53015 70311 885// 333 21095 46004;","","","","","","","","","",""
"01003099999","2013-01-09T10:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","16","22","","","-0.03","2","78","","30.01","","18.64","","080","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN066AAXX  09091 01003 41480 70806 11057 21090 40164 52009 70122 86530;","","","","","","","","","",""
"01003099999","2013-01-09T13:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","17","25","","","-0.01","1","71","","30.03","","24.85","","300","","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN072AAXX  09121 01003 31482 63010 11038 21083 40168 51004 60001 70122 85530;","","","","","","","","","",""
"01003099999","2013-01-09T16:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","19","27","","","+0.00","7","74","","30.02","","18.64","","290","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN066AAXX  09151 01003 41480 72908 11029 21070 40167 57001 70322 85530;","","","","","","","","","",""
"01003099999","2013-01-09T19:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","22","30","","","+0.03","6","71","","29.99","","12.43","","290","","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN082AAXX  09181 01003 31470 82917 11010 21056 40157 56010 70322 885// 333 11009 91127;","","","","","","","","","",""
"01003099999","2013-01-09T22:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","25","31","","","+0.01","8","77","","29.98","","12.43","","280","","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN066AAXX  09211 01003 41470 82816 11003 21039 40153 58004 72022 885//;","","","","","","","","","",""
"01003099999","2013-01-10T01:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","29","31","","","+0.01","5","93","","29.97","","3.73","","280","","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN072AAXX  10001 01003 11256 82817 11004 21014 40150 55003 69921 77332 8572/;","","","","","","","","","",""
"01003099999","2013-01-10T04:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","31","34","","","+0.01","5","89","","29.96","","4.35","","290","","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN066AAXX  10031 01003 41257 82917 10011 21005 40145 55005 77173 8472/;","","","","","","","","","",""
"01003099999","2013-01-10T07:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","30","34","","","+0.01","5","85","","29.95","","7.46","","290","","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN094AAXX  10061 01003 11362 82917 10012 21010 40141 55004 69932 77073 875// 333 21010 46004 91131;","","","","","","","","","",""
"01003099999","2013-01-10T10:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","29","35","","","+0.02","6","80","","29.93","","9.32","","280","","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN066AAXX  10091 01003 41465 82817 10014 21018 40135 56006 70173 875//;","","","","","","","","","",""
"01003099999","2013-01-10T13:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","31","33","","||SG","+0.05","7","93","","29.88","","0.93","","280","","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN082AAXX  10121 01003 11215 82817 10004 21006 40117 57018 69901 77732 886// 333 91131;","","","","","","","","","",""
"01003099999","2013-01-10T19:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","31","32","","","+0.05","7","97","","29.77","","3.11","","270","","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN088AAXX  10181 01003 11250 82714 11001 21005 40081 57017 69982 77173 8272/ 333 10016 91127;","","","","","","","","","",""
"01003099999","2013-01-10T22:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","31","32","","","+0.12","7","99","","29.65","","2.49","","260","","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN066AAXX  10211 01003 41240 82610 11001 21003 40042 57039 77177 8472/;","","","","","","","","","",""
"01003099999","2013-01-11T01:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","34","35","","||RA","+0.12","8","96","","29.53","","1.86","","270","","51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN082AAXX  11001 01003 11130 82723 10016 20010 40000 58041 60021 76172 8472/ 333 91139;","","","","","","","","","",""
"01003099999","2013-01-11T04:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","32","33","","","+0.02","6","94","","29.51","","1.86","","280","","51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN066AAXX  11031 01003 41130 82823 10007 21001 49992 56008 77176 8572/;","","","","","","","","","",""
"01003099999","2013-01-11T13:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","23","30","","","-0.02","2","75","","29.55","","18.64","","290","","47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN076AAXX  11121 01003 31480 32921 11010 21050 40007 52007 70111 83530 333 91135;","","","","","","","","","",""
"01003099999","2013-01-14T01:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","-3","10","","","-0.01","3","55","CLR:00","30.15","","31.07","","060","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN066AAXX  14001 01003 31984 00608 11121 21193 40209 53004 60001 70200;","","","","","","","","","",""
"01003099999","2013-01-14T04:00:00","77.0","15.5","12.0","HORNSUND, NO","FM-12","4","","6","13","","","0.00","4","72","CLR:00","30.15","","31.07","","070","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN060AAXX  14031 01003 41984 00708 11103 21145 40209 54000 70200;","","","","","","","","","",""
